Property Name,Property Address,Latitude,Longitude,Rent Type,Style,Year Built,Vacancy %,Number Of Units,Number Of Studios Units,Studio Asking Rent/Unit,Studio Avg SF,Number Of 1 Bedrooms Units,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,Number Of 2 Bedrooms Units,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Number Of 3 Bedrooms Units,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Number Of 4 Bedrooms Units,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF
Saltbox,412 S 5th St,43.6109280,-116.2022330,Market,Mid-Rise,2027,,100,,,,50,,,50,,,,,,,,
Vanguard Village,1085 S 10 Mile Rd,43.5996554,-116.4464561,Market,Mid-Rise,2027,,552,,,,552,,,,,,,,,,,
Agrihood,Can Ada & Ustick Rd,43.6319929,-116.5112621,Market,,2028,,1500,,,,536,,,508,,,456,,,,,
Boise Capitol Campus,1025 S Capitol Blvd,43.6075341,-116.2104007,Market,Mid-Rise,2028,,472,,,,472,,,,,,,,,,,
The Hummingbird,60 N Cole Rd,43.6054610,-116.2728087,Market/Affordable,Mid-Rise,2028,,200,,,,200,,,,,,,,,,,
,614 Comstock,43.5944870,-116.5888580,,,,,,,,,,,,,,,,,,,,
25th & Fairview,2420 W Fairview Ave,43.6209935,-116.2207062,Market,Mid-Rise,2027,,88,,,,88,,,,,,,,,,,
Fairview Village,6728 W Fairview Ave,43.6202003,-116.2653158,Affordable,Mid-Rise,2027,,205,,,,205,,,,,,,,,,,
The Fletcher,2801 W Fletcher St,43.6194250,-116.2250084,Market,Mid-Rise,2027,,169,,,,169,,,,,,,,,,,
27th and Fairview,2850 W Fletcher St,43.6198973,-116.2256892,Market,Mid-Rise,2027,,358,,,,358,,,,,,,,,,,
Meridian OZ Apartments,1475 E Franklin Rd,43.6038634,-116.3759846,Market,Garden,,,60,,,,,,,,,,,,,,,
The Gateway at Ten Mile,2954 W Franklin Rd,43.6060909,-116.4317942,Market,Mid-Rise,2027,,390,,,,200,,,174,,,16,,,,,
,3663 E Fratello St,43.5644093,-116.3485292,Market,Low-Rise,2026,,168,,,,12,,900,156,,1100,,,,,,
Ovation,521 W Front St,43.6123061,-116.2026383,Market,Hi-Rise,,,209,,,,,,,,,,,,,,,
11th and Front Apartments,1080 W Front St,43.6158894,-116.2079312,Market,Hi-Rise,2028,,420,,,,420,,,,,,,,,,,
